N^3,10,0.0000
N^3,20,0.0000
N^3,40,0.0000
N^3,80,0.0001
N^3,160,0.0005
N^3,320,0.0034
N^3,640,0.0154
N^3,1280,0.1036
N^3,2560,0.7709
N^3,5120,6.0735
N^2,10,0.0000
N^2,20,0.0000
N^2,40,0.0000
N^2,80,0.0000
N^2,160,0.0000
N^2,320,0.0001
N^2,640,0.0003
N^2,1280,0.0011
N^2,2560,0.0036
N^2,5120,0.0143
N^2,10240,0.0591
N^2,20480,0.2322
N^2,40960,0.9059
N^2,81920,3.7001
NlgN,10,0.0000
NlgN,20,0.0000
NlgN,40,0.0000
NlgN,80,0.0000
NlgN,160,0.0000
NlgN,320,0.0000
NlgN,640,0.0000
NlgN,1280,0.0000
NlgN,2560,0.0001
NlgN,5120,0.0001
NlgN,10240,0.0003
NlgN,20480,0.0006
NlgN,40960,0.0012
NlgN,81920,0.0025
NlgN,163840,0.0053
NlgN,327680,0.0112
NlgN,655360,0.0230
NlgN,1310720,0.0479
NlgN,2621440,0.0981
NlgN,5242880,0.2045
NlgN,10485760,0.4204
NlgN,20971520,0.8634
NlgN,41943040,1.7796
N,10,0.0000
N,20,0.0000
N,40,0.0000
N,80,0.0000
N,160,0.0000
N,320,0.0000
N,640,0.0000
N,1280,0.0000
N,2560,0.0000
N,5120,0.0000
N,10240,0.0001
N,20480,0.0001
N,40960,0.0002
N,81920,0.0004
N,163840,0.0008
N,327680,0.0017
N,655360,0.0035
N,1310720,0.0069
N,2621440,0.0142
N,5242880,0.0288
N,10485760,0.0650
N,20971520,0.1291
N,41943040,0.2604
N,83886080,0.5190
N,167772160,1.0367

